id,groupname,name,groupphoto,photo,brand,available,old,percent,price,stockcode,category,subcategory,colorphoto,highlight
1,Pro fashion mattifying primer make-up base,,uploads/makeup/photo/primer make up base/primermain.jpg,uploads/makeup/photo/primer make up base/Mattifying-Primer.png,Pastel,1,131,,131,6765,Make up,Face,,
2,Silky dream foundation,no.350,uploads/makeup/photo/foundation silky dream/main.jpg,uploads/makeup/photo/foundation silky dream/350.jpg,Pastel,1,125,,125,7436,Make up,Face,uploads/makeup/photo/foundation silky dream/color/350.png,
3,Silky dream foundation,no.351,uploads/makeup/photo/foundation silky dream/main.jpg,uploads/makeup/photo/foundation silky dream/351.jpg,Pastel,1,125,,125,7437,Make up,Face,uploads/makeup/photo/foundation silky dream/color/351.png,
4,Silky dream foundation,no.352,uploads/makeup/photo/foundation silky dream/main.jpg,uploads/makeup/photo/foundation silky dream/352.jpg,Pastel,1,125,,125,6723,Make up,Face,uploads/makeup/photo/foundation silky dream/color/352.jpg,
5,Silky dream foundation,no.353,uploads/makeup/photo/foundation silky dream/main.jpg,uploads/makeup/photo/foundation silky dream/353.jpg,Pastel,1,125,,125,6724,Make up,Face,uploads/makeup/photo/foundation silky dream/color/353.png,
6,Silky dream foundation,no.354,uploads/makeup/photo/foundation silky dream/main.jpg,uploads/makeup/photo/foundation silky dream/354.jpg,Pastel,0,125,,125,6725,Make up,Face,uploads/makeup/photo/foundation silky dream/color/354.png,
7,Silky dream foundation,no.355,uploads/makeup/photo/foundation silky dream/main.jpg,uploads/makeup/photo/foundation silky dream/355.jpg,Pastel,1,125,,125,6726,Make up,Face,uploads/makeup/photo/foundation silky dream/color/355.png,
8,High corrector high coverage liquid foundation,no.401,uploads/makeup/photo/foundation high coverage liquid/highcoveragefoundationmain.jpg,uploads/makeup/photo/foundation high coverage liquid/401.jpg,Pastel,0,,,,,Make up,Face,uploads/makeup/photo/foundation high coverage liquid/color/401.png,
9,High corrector high coverage liquid foundation,no.402,uploads/makeup/photo/foundation high coverage liquid/highcoveragefoundationmain.jpg,uploads/makeup/photo/foundation high coverage liquid/402.jpg,Pastel,0,,,,,Make up,Face,uploads/makeup/photo/foundation high coverage liquid/color/402.png,
10,High corrector high coverage liquid foundation,no.403,uploads/makeup/photo/foundation high coverage liquid/highcoveragefoundationmain.jpg,uploads/makeup/photo/foundation high coverage liquid/403.jpg,Pastel,1,170,,170,6727,Make up,Face,uploads/makeup/photo/foundation high coverage liquid/color/403.png,
11,High corrector high coverage liquid foundation,no.404,uploads/makeup/photo/foundation high coverage liquid/highcoveragefoundationmain.jpg,uploads/makeup/photo/foundation high coverage liquid/404.jpg,Pastel,1,170,,170,6728,Make up,Face,uploads/makeup/photo/foundation high coverage liquid/color/404.png,
12,High corrector high coverage liquid foundation,no.405,uploads/makeup/photo/foundation high coverage liquid/highcoveragefoundationmain.jpg,uploads/makeup/photo/foundation high coverage liquid/405.jpg,Pastel,0,170,,170,6729,Make up,Face,uploads/makeup/photo/foundation high coverage liquid/color/405.png,
13,High corrector high coverage liquid foundation,no.406,uploads/makeup/photo/foundation high coverage liquid/highcoveragefoundationmain.jpg,uploads/makeup/photo/foundation high coverage liquid/406.jpg,Pastel,0,170,,170,6730,Make up,Face,uploads/makeup/photo/foundation high coverage liquid/color/406.png,
14,High corrector high coverage liquid foundation,no.407,uploads/makeup/photo/foundation high coverage liquid/highcoveragefoundationmain.jpg,uploads/makeup/photo/foundation high coverage liquid/407.jpg,Pastel,0,170,,170,7438,Make up,Face,uploads/makeup/photo/foundation high coverage liquid/color/407.png,
15,High corrector high coverage liquid foundation,no.408,uploads/makeup/photo/foundation high coverage liquid/highcoveragefoundationmain.jpg,uploads/makeup/photo/foundation high coverage liquid/408.jpg,Pastel,0,170,,170,7439,Make up,Face,uploads/makeup/photo/foundation high coverage liquid/color/408.png,
16,High corrector high coverage liquid foundation,no.409,uploads/makeup/photo/foundation high coverage liquid/highcoveragefoundationmain.jpg,uploads/makeup/photo/foundation high coverage liquid/409.jpg,Pastel,0,170,,170,7440,Make up,Face,uploads/makeup/photo/foundation high coverage liquid/color/409.png,
17,High corrector high coverage liquid foundation,no.410,uploads/makeup/photo/foundation high coverage liquid/highcoveragefoundationmain.jpg,uploads/makeup/photo/foundation high coverage liquid/410.jpg,Pastel,0,170,,170,7441,Make up,Face,uploads/makeup/photo/foundation high coverage liquid/color/410.png,
18,High corrector high coverage liquid foundation,no.412,uploads/makeup/photo/foundation high coverage liquid/highcoveragefoundationmain.jpg,uploads/makeup/photo/foundation high coverage liquid/412.jpg,Pastel,1,170,,170,7916,Make up,Face,uploads/makeup/photo/foundation high coverage liquid/color/412.jpg,
