id,groupname,name,groupphoto,description,photo,brand,available,old,percent,price,stockcode,category,subcategory,colorphoto,highlight,origin,
1,,Olympea edp 80ml,,,uploads/product/photo/luxury/paco-olympea-w-edp-80ml.jpg,Paco rabbane,0,1827,,1827,3486,Perfume,Paco rabbane,,,,
2,,Olympea legend edp 80ml,,,uploads/product/photo/luxury/paco-olympea-legend-edp-80-ml.jpg,Paco rabbane,0,1699,,1699,8787,Perfume,Paco rabbane,,,,
3,,Invictus edt 100ml,,,uploads/product/photo/luxury/paco-invictus-EDT-100ml.jpg,Paco rabbane,0,1620,,1620,3488,Perfume,Paco rabbane,,,,
4,,Invictus legend edp 100ml,,,uploads/product/photo/luxury/paco-invictus-legend-EDP-100ml.jpg,Paco rabbane,1,1798,,1798,8792,Perfume,Paco rabbane,,,,
5,,Phantom edt natural spray 100ml,,,uploads/product/photo/luxury/paco-phantom.jpg,Paco rabbane,1,1998,5%,1898.1,8996,Perfume,Paco rabbane,,,,
6,,1 million edt 100ml,,,uploads/product/photo/luxury/paco-1-million-edp-100-ml.jpg,Paco rabbane,0,1698,,1698,8788,Perfume,Paco rabbane,,,,
7,,Lady million edp 80ml,,,uploads/product/photo/luxury/paco-lady-million-edp-wmn-80-ml-.jpg,Paco rabbane,1,1836,,1836,8789,Perfume,Paco rabbane,,,,
8,,Lady million fabulous intense edp 80ml,,,uploads/product/photo/luxury/paco-lady-million-fabulous edp-wmn-80-ml-.jpg,Paco rabbane,1,1899,,1899,8790,Perfume,Paco rabbane,,,,
9,,Lady million lucky edp 80ml,,,uploads/product/photo/luxury/paco-lady-million lucky-edp-wmn-80-ml-.jpg,Paco rabbane,1,2084,,2084,8791,Perfume,Paco rabbane,,,,
10,,Lady million empire edp 80ml,,,uploads/product/photo/luxury/Lady million empire.jpg,Paco rabbane,1,1865,,1865,8956,Perfume,Paco rabbane,,,,
11,,212 men edt 100ml,,,uploads/product/photo/luxury/ch-212-men-nyc-edt100ml.jpg,Carolina herrera,0,1550,,1550,4021,Perfume,Carolina herrera,,,,
12,,212 men heroes forever young edt 90ml,,,uploads/product/photo/luxury/CH 212-MEN-HEROES-F YONG 90ML.jpg,Carolina herrera,1,1816,,1816,8771,Perfume,Carolina herrera,,,,
13,,212 vip rose are you on the list nyc edp 80ml,,,uploads/product/photo/luxury/212_vip_rose_edp 80ml.jpg,Carolina herrera,0,1850,,1850,4027,Perfume,Carolina herrera,,,,
14,,212 vip rose red limited edition edp 80ml,,,uploads/product/photo/luxury/212 vip rose red.jpg,Carolina herrera,0,1979,,1979,8955,Perfume,Carolina herrera,,,,
15,,212 vip black own the party nyc edp 100ml,,,uploads/product/photo/luxury/212 vip black.jpg,Carolina herrera,0,1620,,1620,8772,Perfume,Carolina herrera,,,,
16,,212 vip men wins limited edition edp 100ml,,,uploads/product/photo/luxury/CH 212-vip-wins-LE-M edp-100-ml-1.jpg,Carolina herrera,0,1499,,1499,8774,Perfume,Carolina herrera,,,,
17,,212 vip wins limited edition edp 80ml,,,uploads/product/photo/luxury/CH 212-vip-wins-LE-W edp-80-ml-1.jpg,Carolina herrera,0,1715,,1715,8773,Perfume,Carolina herrera,,,,
18,,Good Girl edp 80ml,,,uploads/product/photo/luxury/CH good_girl_80ml.jpg,Carolina herrera,0,2298,,2298,4816,Perfume,Carolina herrera,,,,
19,,Good Girl supreme edp 80ml,,,uploads/product/photo/luxury/CH good girl supreme 80ml.jpg,Carolina herrera,0,2487,,2487,8775,Perfume,Carolina herrera,,,,
20,,Very good girl edp 80ml,,,uploads/product/photo/luxury/CH very good girl 80ml.jpg,Carolina herrera,0,2658,,2658,8997,Perfume,Carolina herrera,,,,
21,,Bad boy edt 100ml,,,uploads/product/photo/luxury/CH bad boy 100ml.jpg,Carolina herrera,1,1920,,1920,8776,Perfume,Carolina herrera,,,,
22,,Bad boy le parfume edp 100ml,,,uploads/product/photo/luxury/CH bad boy parfume 100ml.jpg,Carolina herrera,1,2273,,2273,8993,Perfume,Carolina herrera,,,,
23,,Ch insignia limited edition edp 100ml,,,uploads/product/photo/luxury/CH limited edition.jpg,Carolina herrera,1,2325,,2325,8953,Perfume,Carolina herrera,,,,
24,,Ch men edt 100ml,,,uploads/product/photo/luxury/Men-ch-men-edt-100ml1.jpg,Carolina herrera,1,1741,,1741,8954,Perfume,Carolina herrera,,,,
25,,Ma vie pour femme edp 75ml,,,uploads/product/photo/luxury/Boss ma vie edp 75ml.JPG,Boss,0,1399,,1399,8777,Perfume,Boss,,,,
26,,The scent for her edp 50ml,,,uploads/product/photo/luxury/the scent for her edp 50ml.jpg,Boss,1,1252,,1252,8778,Perfume,Boss,,,,
27,,Bottled infinite edp 100ml,,,uploads/product/photo/luxury/boss infinite 100ml.jpg,Boss,0,1399,,1399,8779,Perfume,Boss,,,,
28,,Bottled united edt 100ml,,,uploads/product/photo/luxury/Boss bottled united 100ml.jfif,Boss,0,1411,,1411,8780,Perfume,Boss,,,,
29,,The scent edt 200ml,,,uploads/product/photo/luxury/the-scent-edt-spray-200ml.jpg,Boss,0,1996,,1996,8781,Perfume,Boss,,,,
30,,Hugo iced edt 75ml,,,uploads/product/photo/luxury/boss-hugo-iced-edt-75-ml-.jpg,Boss,0,881,,881,8782,Perfume,Boss,,,,
31,,Driven edp 100ml,,,uploads/product/photo/luxury/dunhill_driven_eau_de_parfum_60ml.jpg,Dunhill,1,1324,,1324,8995,Perfume,Dunhill,,,,
32,,Explorer ultra blue edp 100ml,,,uploads/product/photo/luxury/Explorer ultrablue 100ml.jpg,Mont Blanc,0,1633,,1633,8994,Perfume,Mont blanc,,,,
33,,Spice bomb extreme edp 90ml,,,uploads/product/photo/luxury/spice bomb extrem.jpg,Viktor & rolf,1,1891,,1891,8967,Perfume,Viktor & rolf,,,,
34,,Cool water sea rose edt 100ml,,,uploads/product/photo/luxury/Davidorff cool water sea rose edt 100ml.jpg,Davidorff,0,1125,,1125,8783,Perfume,Davidorff,,,,
35,,Cool water wave edt 100ml,,,uploads/product/photo/luxury/Davidorff cool water wave edt 100ml.jpg,Davidorff,0,1125,,1125,8784,Perfume,Davidorff,,,,
36,,scandal edp 80ml,,,uploads/product/photo/luxury/JPG scandle edp 80ml.JPG,Jean paul gaultier ,0,1772,,1772,8785,Perfume,Jean paul,,,,
37,,scandal by night edp 80ml,,,uploads/product/photo/luxury/JPG scandle by night inte edp 80ml.JPG,Jean paul gaultier ,0,2038,,2038,8786,Perfume,Jean paul,,,,
38,,Scandal gold edp 80ml,,,uploads/product/photo/luxury/JPG scandal-gold-edp-80ml.png,Jean paul gaultier ,0,2398,,2398,8964,Perfume,Jean paul,,,,
39,,So scandal edp 80ml,,,uploads/product/photo/luxury/so-scandal.jpg,Jean paul gaultier ,0,1899,,1899,8965,Perfume,Jean paul,,,,
40,,Le male le parfume edp intense 125ml,,,uploads/product/photo/luxury/male-parfum-edp-intense-uomo-125-ml.jpg,Jean paul gaultier ,0,1720,,1720,8966,Perfume,Jean paul,,,,
41,,Nina rose edt 80ml,,,uploads/product/photo/luxury/nina rose.jpg,Nina ricci,0,1797,,1797,8969,Perfume,Nina ricci,,,,
42,,Daisy edt 50ml,,,uploads/product/photo/luxury/Marc jacobs daisy edt 50ml.jpg,Marc jacobs,0,1099,,1099,8793,Perfume,Marc jacobs,,,,
43,,Daisy love edt 50ml,,,uploads/product/photo/luxury/Marc jacobs daisy love edt 50ml.jpg,Marc jacobs,0,1099,,1099,8794,Perfume,Marc jacobs,,,,
44,,Daisy love eau so sweet edt 50ml,,,uploads/product/photo/luxury/Marc jacobs daisy love eau sweet edt 50ml.jpg,Marc jacobs,0,1099,,1099,8795,Perfume,Marc jacobs,,,,
45,,Mr.burberry indigo edt 100ml,,,uploads/product/photo/luxury/mr-burberry-indigo-edt-100ml.jpg,Burberry,0,1425,,1425,8796,Perfume,Burberry,,,,
46,,Her blossom edt 100ml,,,uploads/product/photo/luxury/burberry-her-blossom her-edt-100ml.jpg,Burberry,0,1628,,1628,8797,Perfume,Burberry,,,,
47,,Guilty pour homme edp 90ml,,,uploads/product/photo/luxury/Guilty-Pour-Homme-EDP-90ml.jpg,Gucci,1,1890,,1890,8798,Perfume,Gucci,,,,
48,,Guilty love edition pour homme edt 90ml,,,uploads/product/photo/luxury/Guilty-Pour-Homme-Love edition EDT-90ml.jpg,Gucci,1,1730,,1730,8799,Perfume,Gucci,,,,
49,,Guilty love edition pour femme edp 50ml,,,uploads/product/photo/luxury/Guilty-Pour-Homme-Love edition WMN EDP-50ml.jpg,Gucci,1,1798,,1798,8800,Perfume,Gucci,,,,
50,,L'homme timeless edt 100ml,,,uploads/product/photo/luxury/lacoste timeless edt 100ml.JPG,Lacoste,0,1194,,1194,8801,Perfume,Lacoste,,,,
51,,Match point edt 100ml,,,uploads/product/photo/luxury/lacoste_match_point_edt_him_100ml.jpg,Lacoste,1,1293,,1293,8802,Perfume,Lacoste,,,,
