1,,Olympea edp 80ml,,,uploads/product/photo/luxury/paco-olympea-w-edp-80ml.jpg,Paco rabbane,1,1827,5%,1735.65,3486,Perfume,Paco rabbane,,
2,,Olympea legend edp 80ml,,,uploads/product/photo/luxury/paco-olympea-legend-edp-80-ml.jpg,Paco rabbane,0,1699,5%,1614.05,8787,Perfume,Paco rabbane,,
3,,Invictus edt 100ml,,,uploads/product/photo/luxury/paco-invictus-EDT-100ml.jpg,Paco rabbane,0,1620,,1620,3488,Perfume,Paco rabbane,,
4,,Invictus legend edp 100ml,,,uploads/product/photo/luxury/paco-invictus-legend-EDP-100ml.jpg,Paco rabbane,1,1798,5%,1708.1,8792,Perfume,Paco rabbane,,
5,,Phantom edt natural spray 100ml,,,uploads/product/photo/luxury/paco-phantom.jpg,Paco rabbane,1,1998,5%,1898.1,8996,Perfume,Paco rabbane,,
6,,1 million perfume 100ml,,,uploads/product/photo/luxury/paco-1-million-edp-100-ml.jpg,Paco rabbane,0,1698,5%,1613.1,8788,Perfume,Paco rabbane,,
7,,Lady million edp 80ml,,,uploads/product/photo/luxury/paco-lady-million-edp-wmn-80-ml-.jpg,Paco rabbane,1,1836,5%,1744.2,8789,Perfume,Paco rabbane,,
8,,Lady million fabulous intense edp 80ml,,,uploads/product/photo/luxury/paco-lady-million-fabulous edp-wmn-80-ml-.jpg,Paco rabbane,1,1899,5%,1804.05,8790,Perfume,Paco rabbane,,
9,,Lady million lucky edp 80ml,,,uploads/product/photo/luxury/paco-lady-million lucky-edp-wmn-80-ml-.jpg,Paco rabbane,1,2084,5%,1979.8,8791,Perfume,Paco rabbane,,
10,,Lady million empire edp 80ml,,,uploads/product/photo/luxury/Lady million empire.jpg,Paco rabbane,1,1865,5%,1771.75,8956,Perfume,Paco rabbane,,
11,,212 men edt 100ml,,,uploads/product/photo/luxury/ch-212-men-nyc-edt100ml.jpg,Carolina herrera,1,1550,5%,1472.5,4021,Perfume,Carolina herrera,,
12,,212 men heroes forever young edt 90ml,,,uploads/product/photo/luxury/CH 212-MEN-HEROES-F YONG 90ML.jpg,Carolina herrera,1,1816,5%,1725.2,8771,Perfume,Carolina herrera,,
13,,212 vip rose are you on the list nyc edp 80ml,,,uploads/product/photo/luxury/212_vip_rose_edp 80ml.jpg,Carolina herrera,1,1850,5%,1757.5,4027,Perfume,Carolina herrera,,
14,,212 vip rose red limited edition edp 80ml,,,uploads/product/photo/luxury/212 vip rose red.jpg,Carolina herrera,0,1979,,1979,8955,Perfume,Carolina herrera,,
15,,212 vip black own the party nyc edp 100ml,,,uploads/product/photo/luxury/212 vip black.jpg,Carolina herrera,0,1620,,1620,8772,Perfume,Carolina herrera,,
16,,212 vip men wins limited edition edp 100ml,,,uploads/product/photo/luxury/CH 212-vip-wins-LE-M edp-100-ml-1.jpg,Carolina herrera,1,1499,5%,1424.05,8774,Perfume,Carolina herrera,,
17,,212 vip wins limited edition edp 80ml,,,uploads/product/photo/luxury/CH 212-vip-wins-LE-W edp-80-ml-1.jpg,Carolina herrera,0,1715,5%,1629.25,8773,Perfume,Carolina herrera,,
18,,Good Girl edp 80ml,,,uploads/product/photo/luxury/CH good_girl_80ml.jpg,Carolina herrera,0,2298,,2298,4816,Perfume,Carolina herrera,,
19,,Good Girl supreme edp 80ml,,,uploads/product/photo/luxury/CH good girl supreme 80ml.jpg,Carolina herrera,0,2487,,2487,8775,Perfume,Carolina herrera,,
20,,Very good girl edp 80ml,,,uploads/product/photo/luxury/CH very good girl 80ml.jpg,Carolina herrera,0,2658,,2658,8997,Perfume,Carolina herrera,,
21,,Bad boy edt 100ml,,,uploads/product/photo/luxury/CH bad boy 100ml.jpg,Carolina herrera,1,1920,5%,1824,8776,Perfume,Carolina herrera,,
